,Pressure (bars),H2,He,H2O,CH4,NH3,N2,C2H6,CO2,CH3NH2,CO
0,1.0,0.66480239244,0.17004514354,0.10633831920999999,0.04870401106399999,0.0058147219665,0.0042728098109,3.2899864552e-10,3.5057006542e-10,1.4697182815e-14,2.7017152174e-11
1,0.8837078743614601,0.66359387576,0.17029118924,0.10649218642,0.04877448679699999,0.007270154672099999,0.0035554833550000002,1.8141589619e-10,9.7167969923e-11,7.5354751966e-15,5.2669377021e-12
2,0.7809396072084505,0.66232316382,0.17054990156,0.10665397217,0.048848588174,0.0088004725768,0.0028012488411,1.0058389784e-10,2.7351528437e-11,3.7645107645e-15,1.0427975913e-12
3,0.6901224802908534,0.66100248227,0.17081879337,0.1068221203,0.048925601967,0.010390941285,0.0020173682643,5.4192237351e-11,7.1627613799e-12,1.7544204924e-15,1.8830562511e-13
4,0.6098666701068889,0.659790817,0.17106549574,0.10697638927,0.048996257054,0.011850091908,0.0012982092345,2.8303872037e-11,1.7347829235e-12,7.5280324244e-16,3.0804853889e-14
5,0.5389439786840606,0.65890164974,0.17124653967,0.10708959869,0.049048105563,0.01292085103,0.00077047334647,1.4838597143e-11,4.2522523171e-13,3.1039095934e-16,5.1062959507e-15
6,0.47626903780279933,0.65827347531,0.17137444458,0.10716957901,0.049084734842,0.013677304061,0.00039764679543,7.3482680561e-12,9.0217885916e-14,1.1394396002e-16,7.0704039038e-16
7,0.42088269902088893,0.65792906443,0.17144457187,0.10721343038,0.049104817586,0.014092043041,0.00019323792897,3.6143880152e-12,1.8861493251e-14,4.0265549783e-17,9.5960176597e-17
8,0.371937355307264,0.6577526341,0.17148049587,0.10723589411,0.049115105302,0.014304499348,8.8526399083e-05,1.7380556208000002e-12,3.7317155963e-15,1.3532516403e-17,1.2136741707e-17
9,0.32868396965420543,0.65766681995,0.17149796901,0.1072468203,0.049120109156,0.014407836059,3.7595714643e-05,7.9995850468e-13,6.6160007042e-16,4.2177805024e-18,1.3364853342e-18
10,0.2904606121598046,0.65763025892,0.17150541342,0.10725147540000002,0.049122241043,0.01445186252,1.5896767603e-05,3.6822901017e-13,1.1766043276e-16,1.3073101327e-18,1.4733093457e-19
11,0.25668233015746944,0.65761381768,0.17150876112,0.10725356877,0.049123199738,0.014471660919000002,6.1388994801e-06,1.5901526951e-13,1.7847240701e-17,3.6662572629e-19,1.3288093985e-20
12,0.22683219636960386,0.65760746118,0.17151005541,0.1072543781,0.049123570388,0.014479315361,2.3663201937e-06,6.8448779398e-14,2.6944784714e-18,1.020602465e-19,1.1879606477e-21
13,0.20045339809052398,0.65760494207,0.17151056834,0.10725469885,0.049123717278,0.014482348844,8.7123324545e-07,2.8481068368e-14,3.740630364e-19,2.6931923047e-20,9.5425369394e-23
14,0.17714224633510853,0.65760397448,0.17151076536,0.10725482204,0.049123773699,0.014483514007000002,2.9696926101999994e-07,1.1176174886e-14,4.500898144200001e-20,6.4894365798e-21,6.3922557779e-24
15,0.15654199796841292,0.6576036546900002,0.17151083047,0.10725486276000001,0.049123792346,0.014483899097,1.0717285694e-07,4.5547232483e-15,5.9756121419e-21,1.6537815921e-21,4.829729306e-25
16,0.1383373962729622,0.65760355319,0.17151085114000003,0.10725487568,0.049123798264,0.014484021324,4.6931874348e-08,2.1240059823e-15,1.1178842817e-21,5.1692857631e-22,5.5896085479e-26
17,0.12224984640507844,0.65760351341,0.17151085924,0.10725488075,0.049123800584,0.014484069223,2.3324355360000002e-08,1.0815836001e-15,2.6167619526e-22,1.8463633982000002e-22,8.5489592157e-27
18,0.10803315190764665,0.65760349644,0.17151086269,0.10725488291,0.049123801573,0.014484089655,1.3254377422000002e-08,6.0538399394e-16,7.7804431969e-23,7.614362086e-23,1.7619477218e-27
19,0.09546974703287517,0.6576034889,0.17151086423,0.10725488387,0.049123802013,0.014484098744,8.7748104219e-09,3.776909154e-16,3.0414923537e-23,3.7047308902e-23,5.1114539203e-28
20,0.08436736721624842,0.65760348458,0.17151086511,0.10725488442,0.049123802265,0.014484103939,6.2145622332e-09,2.4702792334e-16,1.3405630606e-23,1.9368273077e-23,1.7221869925e-28
21,0.07455610674814364,0.65760348246,0.17151086554,0.10725488469,0.049123802389,0.014484106496,4.9543388612e-09,1.7579548992e-16,7.3077633474e-24,1.1517261376000001e-23,7.5690638412e-29
22,0.06588581861506813,0.65760348133,0.17151086577,0.10725488483000001,0.049123802454,0.014484107857,4.2832255143e-09,1.3255918391e-16,4.608413134e-24,7.4813575138e-24,3.991647561999999e-29
23,0.058223816718886594,0.65760348081,0.17151086588,0.1072548849,0.04912380248500001,0.014484108485,3.9737837492e-09,1.0511440998e-16,3.2988757565e-24,5.2478198832e-24,2.4667540279999998e-29
24,0.051452845309858525,0.65760348069,0.1715108659,0.10725488492,0.049123802492,0.014484108624,3.9054213503e-09,8.6885490761e-17,2.6203204842e-24,3.9221495337e-24,1.7365380626e-29
25,0.045469284558624104,0.65760348087,0.17151086587,0.10725488489,0.049123802481,0.014484108407999999,4.0115412539e-09,7.4137148267e-17,2.2539568398e-24,3.0772339454000002e-24,1.3507800208e-29
26,0.04018156480603808,0.6576034815,0.17151086574,0.10725488481,0.049123802445,0.014484107654,4.3834198781e-09,6.612533921900001e-17,2.167238687e-24,2.5835269449e-24,1.2079523872e-29
27,0.03550876522326117,0.65760348257,0.17151086552,0.10725488468,0.049123802382,0.014484106365,5.0186542599e-09,6.1006592727e-17,2.2675136818999998e-24,2.2840447883000005e-24,1.2008844977e-29
28,0.031379375436648274,0.65760348394,0.17151086524,0.1072548845,0.049123802301999996,0.014484104705,5.83685079e-09,5.691628082e-17,2.4402443529e-24,2.0540549955e-24,1.2367090746e-29
29,0.027730201165910608,0.65760348611,0.1715108648,0.10725488423,0.049123802176,0.014484102096999999,7.122209450300001e-09,5.496862667999999e-17,2.8638971968e-24,1.9475394086e-24,1.4197105868e-29
30,0.0245053971279426,0.65760348898,0.17151086421,0.10725488386,0.049123802008,0.014484098638,8.8271913786e-09,5.3704990716e-17,3.4583503475e-24,1.8794874444e-24,1.6892909197e-29
31,0.021655612406317543,0.65760349285,0.17151086343,0.10725488337,0.049123801783,0.014484093982,1.1121973098e-08,5.308340365499999e-17,4.3010434294e-24,1.8463202616e-24,2.085461132e-29
