,Pressure (bars),H2,He,H2O,CH4,CH3OH,N2,CO2,HCN,C2H6,CO
0,1.0,0.6397157756495523,0.14408120771221872,0.01632347191185572,0.0006853511543457913,2.8379177693132696e-06,0.01321016308164546,0.18085837693158024,3.941568451302976e-07,2.3143466023300912e-07,0.005122171138602847
1,0.8837078743614601,0.639717220572968,0.14408141384407325,0.016323356373634617,0.0006853414249593064,2.8401223484209113e-06,0.01321010454118765,0.18085699578485145,3.94046708592951e-07,2.3141123911399782e-07,0.005122083381560167
2,0.7809396072084505,0.6397187086933533,0.14408161757817534,0.016323217814602366,0.0006853256650431429,2.83696679316771e-06,0.013210045178468363,0.18085561437065914,3.945384162160226e-07,2.3138125585532963e-07,0.005121990262809555
3,0.6901224802908534,0.6397202231883816,0.1440818205007797,0.016323071574452248,0.000685305640625239,2.8280912627272484e-06,0.013209985033476824,0.18085421902125215,3.9552362741335114e-07,2.3134991784047215e-07,0.005121903879602912
4,0.6098666701068889,0.6397217567080827,0.14408202340614087,0.01632292205388103,0.0006852824982404255,2.814882711346086e-06,0.013209924222094134,0.18085280857962638,3.9658188526384635e-07,2.3131884508610106e-07,0.005121824868989035
5,0.5389439786840606,0.6397233099086734,0.14408222604528811,0.01632277034376884,0.0006852569787780574,2.798819485364487e-06,0.013209862679316248,0.18085138123591618,3.9740931044392636e-07,2.3128833437304304e-07,0.0051217513506968656
6,0.47626903780279933,0.6397248767572311,0.14408243074716245,0.016322617192057017,0.000685229650599818,2.7809216022360365e-06,0.01320980059361736,0.1808499397134784,3.979514826073754e-07,2.3125828262482146e-07,0.005121681726657544
7,0.42088269902088893,0.6397264591629928,0.14408263585864414,0.016322462928010567,0.0006852009805988576,2.7616202783002906e-06,0.013209737897484858,0.180848483555356,3.982780364010304e-07,2.3122847854840468e-07,0.005121614942810606
8,0.371937355307264,0.6397280566274889,0.14408284245332315,0.01632230773123588,0.0006851712442877669,2.7409504746445237e-06,0.013209674588359123,0.18084701214050747,3.9847056615312803e-07,2.3119871932498488e-07,0.005121550449855058
9,0.32868396965420543,0.6397296669531184,0.14408305083925582,0.01632215195681501,0.0006851406851390759,2.719009828604102e-06,0.013209610738700504,0.18084552685036778,3.9858711638283554e-07,2.311689227570178e-07,0.005121487971639432
10,0.2904606121598046,0.6397312934015785,0.14408325998280735,0.016321995550425152,0.0006851094725572201,2.696123059358769e-06,0.01320954623059902,0.1808440257831727,3.9866388379457805e-07,2.311390104044296e-07,0.0051214270349266445
11,0.25668233015746944,0.6397329312347517,0.14408347191042317,0.01632183882822796,0.0006850777763137814,2.6727443096064764e-06,0.013209481219073334,0.18084251114801728,3.9872035964004233e-07,2.311089715046878e-07,0.00512136721594307
12,0.22683219636960386,0.6397345824528926,0.14408368496812773,0.01632168186280824,0.0006850457341525709,2.6493054158060815e-06,0.013209415643003137,0.1808409825782431,3.987669657407509e-07,2.3107884164567723e-07,0.005121308097057982
13,0.20045339809052398,0.6397362471271133,0.14408390001810972,0.016321524635686997,0.0006850133826165186,2.6260271868391095e-06,0.013209349487648077,0.18083943925427906,3.9880856374027316e-07,2.3104861400293745e-07,0.005121249347875403
14,0.17714224633510853,0.6397379226887183,0.14408411755557393,0.016321367410174814,0.000684980784593905,2.6030512108035183e-06,0.013209282841987509,0.18083788273972418,3.9884722569428156e-07,2.3101833210107284e-07,0.00512119088363547
15,0.15654199796841292,0.6397396154551314,0.14408433582039826,0.016321209898742587,0.0006849479068684906,2.580406247707132e-06,0.013209215480627215,0.18083630911852844,3.9888383942433586e-07,2.3098796364395968e-07,0.0051211325381295605
16,0.1383373962729622,0.6397413445610303,0.1440845537350929,0.016321050638552895,0.0006849144657855478,2.5579335580193336e-06,0.01320914668185204,0.18083470345048194,3.9891895055956895e-07,2.3095724601325992e-07,0.00512107377818077
17,0.12224984640507844,0.639743124036601,0.14408477487160723,0.016320888198475426,0.0006848801178943213,2.5354280508555183e-06,0.013209075866165779,0.1808330511858505,3.989529178343914e-07,2.3092584760217868e-07,0.005121014074602344
18,0.10803315190764665,0.6397449685620173,0.14408500088588988,0.016320721322027085,0.0006848445830422703,2.512752688086458e-06,0.013209002448414667,0.18083133869327478,3.989859013485674e-07,2.3089349195887603e-07,0.0051209529600210755
19,0.09546974703287517,0.6397468934963526,0.14408523365948642,0.016320548711628004,0.0006848075671399486,2.489782775717e-06,0.013208925813497894,0.18082955153419716,3.9901799545399035e-07,2.3085988845842308e-07,0.005120889951875396
20,0.08436736721624842,0.6397489111043715,0.1440854757930574,0.01632036930705013,0.0006847688030198748,2.4664204652834115e-06,0.013208845454829126,0.1808276771451463,3.990492027244763e-07,2.308247762495675e-07,0.005120824679025464
21,0.07455610674814364,0.6397510363298762,0.14408572845268303,0.01632018199484001,0.0006847280188321221,2.4425766386832514e-06,0.013208760777653171,0.18082570183328078,3.990794530102735e-07,2.3078790371377543e-07,0.005120756804622625
22,0.06588581861506813,0.6397532829974927,0.14408599391377985,0.016319985693181962,0.0006846849181447831,2.418151311105233e-06,0.013208671215980523,0.18082361184535314,3.991086360075825e-07,2.307490065808088e-07,0.005120686048212034
23,0.058223816718886594,0.6397556657566278,0.14408627389472373,0.01631977934327191,0.0006846392024825782,2.3930527114938406e-06,0.013208576176733818,0.18082139311237436,3.9913657730894636e-07,2.3070783060068847e-07,0.0051206121878159426
24,0.051452845309858525,0.6397582006699659,0.14408657017482576,0.016319561802718145,0.000684590540144408,2.367179354831951e-06,0.013208475010379982,0.18081903026719243,3.991630650835521e-07,2.306641012336199e-07,0.005120535017598101
25,0.045469284558624104,0.6397609027216272,0.14408688514974163,0.016319332001941893,0.000684538590614916,2.3404326311951682e-06,0.013208367100112431,0.18081650824829795,3.9918784158240897e-07,2.3061754303342907e-07,0.005120454395014213
26,0.04018156480603808,0.6397637902696112,0.14408722027591833,0.016319088713372433,0.0006844829775134863,2.312707371106225e-06,0.013208251708890088,0.1808138098926502,3.992106129997175e-07,2.30567857609974e-07,0.005120370167229488
27,0.03550876522326117,0.6397668807509975,0.14408757828180943,0.016318830706954085,0.00068442328808101,2.2838873272593705e-06,0.01320812811914277,0.180810917684455,3.9923106372533946e-07,2.3051471816336148e-07,0.005120282210534954
28,0.031379375436648274,0.6397701925539064,0.14408796136107715,0.01631855675227834,0.0006843590994240139,2.2538634017456124e-06,0.01320799558156472,0.18080781368630208,3.992488436439536e-07,2.3045779416868474e-07,0.00512019043877969
29,0.027730201165910608,0.639773748556506,0.14408837128988042,0.016318265321217024,0.0006842899096812135,2.2225030519425783e-06,0.013207853178027602,0.1808044765100428,3.992635947324746e-07,2.3039668724107402e-07,0.005120094709193829
30,0.0245053971279426,0.6397775698415641,0.14408881157406564,0.01631795490902165,0.0006842151745236226,2.1896651379568135e-06,0.013207700038423236,0.18080088476911174,3.992749511280505e-07,2.303309554134648e-07,0.005119994919939831
31,0.021655612406317543,0.6397816801102506,0.14408928459285766,0.016317623918736684,0.0006841343238808093,2.1552167933078765e-06,0.013207535203958055,0.18079701576786578,3.9928253251317956e-07,2.3026012254165165e-07,0.005119890987443199
32,0.019137235207582544,0.6397861056994444,0.14408979317934217,0.016317270529826414,0.0006840467056807569,2.119009450670746e-06,0.013207357608256868,0.18079284417785663,3.992859647161289e-07,2.3018361368862756e-07,0.00511978280150544
33,0.01691172544644807,0.6397908742754013,0.14409034073044574,0.01631689279042379,0.000683951604307911,2.080891075845173e-06,0.013207166126391506,0.18078834303704408,3.9928488284078945e-07,2.3010075403299899e-07,0.0051196702466253866
34,0.01494502494606524,0.6397960150964456,0.14409093074977417,0.01631648863208793,0.0006838482518851311,2.0407164728617207e-06,0.013206959570137573,0.18078348391362,3.9927893889500585e-07,2.3001075572698328e-07,0.005119553194023565
35,0.01320703622736631,0.6398015568720256,0.14409156732852837,0.016316055997082645,0.0006837358529815097,1.9983604637668753e-06,0.013206736764845827,0.18077823829804912,3.9926781627165333e-07,2.2991270982050565e-07,0.005119431517832073
36,0.011671161911100682,0.6398075296342675,0.144092254130609,0.01631559277649821,0.0006836135902060504,1.9537268382696895e-06,0.013206496489087794,0.18077257688363338,3.9925123967947e-07,2.298055552797463e-07,0.005119305059900676
37,0.01031389768378722,0.639813968539695,0.14409299441462012,0.016315096524801433,0.000683480557409198,1.906728425773138e-06,0.013206237327527983,0.18076646635189847,3.9922897158259295e-07,2.2968798400860165e-07,0.005119173537743156
38,0.009114472598521184,0.6398209109114755,0.1440937927247414,0.0163145645590864,0.0006833357590340837,1.8572873140725807e-06,0.013205957764932245,0.18075987043152725,3.9920080991359226e-07,2.2955841269098956e-07,0.005119036558862226
39,0.008054531205964931,0.6398283999249467,0.1440946532240317,0.01631399380913867,0.0006831781047533992,1.8053394266982128e-06,0.01320565606346871,0.18075274820371323,3.991665744175724e-07,2.294149493483303e-07,0.005118893578880116
40,0.007117852651001318,0.6398364811796825,0.14409558154888882,0.01631338093800838,0.0006830064101941984,1.7508322137026512e-06,0.013205330372969932,0.1807450554204506,3.991260985216499e-07,2.292553758524598e-07,0.005118743935455294
41,0.00629010243623446,0.6398452094977095,0.14409658245167117,0.016312722008994734,0.0006828193535600289,1.693715840654795e-06,0.013204978496217774,0.18073674077162472,3.9907920205235756e-07,2.2907707722858843e-07,0.0051185867743696175
42,0.005558613053440596,0.6398546516639008,0.14409766163067347,0.01631201214356752,0.0006826153500246663,1.6339026645745946e-06,0.013204597761296153,0.1807277420260635,3.99025647112022e-07,2.2887690629447815e-07,0.005118420981151618
43,0.004912190125853856,0.6398648731604442,0.14409882870244667,0.016311246278535904,0.0006823926947902973,1.5713076245537959e-06,0.013204185499190156,0.18071799471601613,3.9896516453633635e-07,2.286512993406632e-07,0.005118245373005216
44,0.004340941094577661,0.6398759600165207,0.14410008911618213,0.016310418142974258,0.0006821494297354571,1.5058281453853326e-06,0.013203738295111598,0.18070742053759864,3.988973983904358e-07,2.2839602275015276e-07,0.005118058472886316
45,0.0038361238274175345,0.6398879864238582,0.1441014570817344,0.016309521732493996,0.0006818834815625191,1.4373717754926223e-06,0.013203253085266854,0.18069594366010927,3.988219522482801e-07,2.2810623517461867e-07,0.005117858911134944
46,0.003390012833314499,0.6399010400814796,0.14410294016162586,0.016308550595380795,0.0006815927365431401,1.3659121966822877e-06,0.013202726358862969,0.1806834823233768,3.987383888418205e-07,2.277761892290236e-07,0.005117645283226933
47,0.002995781034986427,0.639915217453505,0.1441045491539497,0.01630749755664102,0.0006812747287083672,1.2914248066652995e-06,0.013202154219151576,0.18066994422446236,3.9864615099496677e-07,2.2739843528310168e-07,0.00511741620179103
