,Pressure (bars),H2,He,H2O,CH4,NH3,N2,CO,CO2,C2H6,HCN
0,2499.9999999999995,0.6679627316813961,0.16942740775177362,0.10454317975121195,0.04713775583222855,0.004833013387090286,0.004736257052243965,0.0012681610365684244,6.929040772517624e-05,1.4392723716777848e-05,2.3818764662693395e-06
1,2096.25333719472,0.6669018724998765,0.16963807949097523,0.1052311460327162,0.04774188856621815,0.0050103170490734305,0.004657153332421246,0.0007574640423201199,4.6989692067819055e-05,1.1057446747993326e-05,1.1952442009551182e-06
2,1757.7112214800009,0.6661885360749482,0.1697795621457364,0.10566121721152669,0.04811533617565338,0.005194736116011051,0.004571250460514533,0.0004473831412646653,3.14934917895408e-05,8.397428974636994e-06,5.948219138883304e-07
3,1473.8432055408243,0.6656185084754341,0.1698927983131008,0.10595561408425602,0.04836480039434437,0.005440578110313272,0.004453288753313897,0.0002472328138474037,1.9931309247642687e-05,6.214051775385176e-06,2.7641443514971945e-07
4,1235.8194952466872,0.6652322534429879,0.16996942322359498,0.10614140644390745,0.048520081509360526,0.005634696225216966,0.004359556641176489,0.00012587440865202337,1.1762053480613586e-05,4.463254440320559e-06,1.1516371349639082e-07
5,1036.2362964324611,0.665080216179285,0.16999916182248812,0.10623161758975871,0.048597725008778576,0.00567743204437175,0.004339484278194188,6.399851515064478e-05,6.938358244313633e-06,3.1968557564378854e-06,4.670381742360844e-08
6,868.8855178075379,0.6650070765892558,0.17001319961966777,0.1062833394942987,0.0486430165127204,0.005681772402410614,0.004337925557314021,2.781136893881908e-05,3.5860064410704833e-06,2.1736390076276984e-06,1.5536400161360113e-08
7,728.5616665376857,0.6649767650559453,0.17001892250412556,0.10630627926120109,0.04866318789118398,0.0056809311589067595,0.0043385943613177,1.1961378188018243e-05,1.8419626646489276e-06,1.472290909310516e-06,5.101740363707043e-09
8,610.8999299327083,0.6649638432657794,0.1700213177145849,0.10631683085496711,0.04867240969128536,0.005679471991352759,0.0043394273346462125,4.8083423608105696e-06,8.962547238340192e-07,9.749161392764478e-07,1.5384609454778453e-09
9,512.2404067253844,0.6649630161801371,0.17002147362849798,0.10631873358340893,0.048673818568099575,0.0056778149472184024,0.004340262541747031,3.388589094700473e-06,7.030864793383566e-07,7.758232266033162e-07,9.256719767716701e-10
10,429.5142648176273,0.6649648144245548,0.1700211589277171,0.1063189058911182,0.048673547599165964,0.005675991744155134,0.004341160509427471,3.0603008004356634e-06,6.807274323841637e-07,6.69636860669675e-07,7.559768846515117e-10
11,360.1482843986753,0.6649672782409348,0.17002073056623504,0.106318783154979,0.04867289543967488,0.0056739910210967335,0.004342142277371359,2.897984050734193e-06,6.866110832660094e-07,5.864090920062766e-07,6.519750233469292e-10
12,301.9848172222706,0.6649704230916543,0.1700201864298362,0.10631836724267685,0.048671865257924496,0.005671797697309666,0.004343215295198377,2.8916626473695362e-06,7.241261354515593e-07,5.222289217454797e-07,5.989389913331466e-10
13,253.214672353729,0.6649742553602808,0.1700195259275353,0.10631766856949611,0.0486704684789825,0.005669393966976544,0.004344388436026117,3.0258470993212256e-06,7.955772801018247e-07,4.717814177541813e-07,5.807903147916104e-10
14,212.32084077926805,0.6649788809290161,0.17001873075972634,0.10631662789938004,0.04866865287100879,0.005666759248472948,0.00434567119497163,3.327005923099626e-06,9.115301566767424e-07,4.331028256596503e-07,5.982844327591382e-10
15,178.03130841581182,0.6649843583951986,0.17001779121912122,0.10631522317166421,0.048666396860651995,0.005663871014835453,0.004347074400027352,3.799130792325819e-06,1.0778577732338606e-06,4.0287435365489233e-07,6.47852711514853e-10
16,149.27948975671526,0.6649907259543304,0.1700167013748667,0.10631345131383833,0.04866368771843706,0.005660705495449115,0.004348609647538837,4.4380950512051165e-06,1.2961422590463999e-06,3.7942353078624635e-07,7.346519104387297e-10
17,125.1710514308958,0.6649979599275103,0.17001546640479576,0.10631135790979304,0.04866054896278144,0.005657237969651054,0.004350289470482676,5.213767499843441e-06,1.560062646189192e-06,3.6083794476502465e-07,8.634703353692231e-10
18,104.95609371287493,0.6650060022517494,0.1700140975853257,0.10630901702846243,0.048657021845356765,0.005653443117840249,0.004352126945769776,6.083241843612592e-06,1.8572925879503457e-06,3.460724611875492e-07,1.0452388914463687e-09
19,88.00582468181439,0.6650147772608508,0.1700126093631925,0.10630651725818649,0.04865315771912548,0.005649295081086597,0.004354135542031958,6.996270033898956e-06,2.1728415502727263e-06,3.3402254273537307e-07,1.2929621674341368e-09
20,73.79300147273062,0.6650242159898995,0.1700110149894665,0.1063039432014553,0.048649002858288166,0.0056447678257756815,0.004356328745470043,7.906012397612005e-06,2.491564513055375e-06,3.24020938376373e-07,1.6319259209346504e-09
21,61.8755302395306,0.6650342668290863,0.17000932487894113,0.10630136526262528,0.04864459458076929,0.005639835932894724,0.004358719581851459,8.770964083558265e-06,2.8017836651372193e-06,3.150406874466377e-07,2.125062694732992e-09
22,51.88271470212355,0.6650449080121527,0.17000754394022993,0.10629883189923267,0.04863994995640055,0.005634474606343916,0.00436132044294786,9.564770765137302e-06,3.093412471093371e-06,3.070375359298838e-07,2.977770916705573e-09
23,43.503725534819154,0.6650561431972105,0.17000567268422523,0.10629637240565036,0.048635071779508814,0.005628658707148193,0.00436414352061429,1.0270401345254555e-05,3.359800511632029e-06,2.998372506772666e-07,4.722067307573597e-09
24,36.477931933107136,0.6650679936754396,0.17000370961538883,0.10629399519022946,0.04862995862081808,0.005622366977969115,0.00436719864545944,1.0869651762738554e-05,3.6045836289260544e-06,2.915064959942753e-07,8.516446857388934e-09
25,30.58679461949508,0.6650805061870364,0.17000164690286454,0.10629169232316449,0.04862458105033559,0.005615580440062753,0.004370493718706706,1.1373207096608027e-05,3.823009841505139e-06,2.834753833318199e-07,1.65008784868466e-08
26,25.647068118082437,0.6650937441394293,0.1699994760287961,0.10628943325591866,0.04861891324594249,0.00560828289298784,0.004374034598544548,1.1779127348496803e-05,4.027564640665828e-06,2.737035034325771e-07,3.2003230345069006e-08
27,21.505100852716254,0.6651077736559365,0.16999718567250022,0.10628718559263182,0.048612912282792506,0.005600463376124743,0.004377823815769592,1.2110862927478452e-05,4.217912880608165e-06,2.6356234685009915e-07,5.945345820904479e-08
28,18.032055771686196,0.6651226681003108,0.16999476391637153,0.10628491076358054,0.04860653514726333,0.005592109346932666,0.004381864169415125,1.2388597044376336e-05,4.39799655080141e-06,2.534545836649642e-07,1.0417929152975605e-07
29,15.119902835151374,0.6651384919339967,0.16999220231553883,0.106282562831252,0.048599752106293026,0.005583216333033301,0.004386154207740547,1.2617657879780966e-05,4.583705010082631e-06,2.4178910630360655e-07,1.7214107928827938e-07
30,12.678058710498394,0.6651552844231668,0.16998949360404808,0.10628011662060935,0.048592529127801785,0.005573785114540469,0.0043906898118568054,1.2826341783593105e-05,4.769128962745452e-06,2.3064921711990292e-07,2.693606104243374e-07
31,10.630569152413122,0.6651730882086949,0.16998663495043784,0.10627752320598495,0.04858485351401517,0.005563824399805661,0.004395462904837309,1.3007306062442345e-05,4.979083512319063e-06,2.1752034525388504e-07,4.0209315357085216e-07
32,8.913746424810103,0.66519189262903,0.16998363348036477,0.10627473507605743,0.04857673837675879,0.005553376122043802,0.004400449608256686,1.3147030632426779e-05,5.243720736547693e-06,2.0026810255140006e-07,5.757582172319838e-07
33,7.474188275966277,0.6652116471045656,0.16998050050346225,0.10627172501769178,0.0485681993937645,0.005542497697307712,0.004405619134875412,1.3251687775886144e-05,5.574227820637304e-06,1.8163731146865898e-07,7.943569553949051e-07
34,6.267116846526386,0.6652322439606839,0.16997728964882994,0.10626829658557159,0.04855939768479575,0.005531376219154405,0.004410879557266653,1.3112772112386425e-05,6.188015332405936e-06,1.4660120842972863e-07,1.0585181987201276e-06
35,5.254985841648076,0.6652530980136769,0.1699740745675382,0.10626468277928804,0.0485504054152094,0.005520283068466629,0.004416100970386124,1.2930636896408288e-05,6.891186888803759e-06,1.584135912490128e-07,1.3627665948448165e-06
36,4.406312642986316,0.6652736298634577,0.16997094738563517,0.10626109657785208,0.048541233704970085,0.005509522208972881,0.004421138613329085,1.284833865137514e-05,7.5355361137894425e-06,3.322422097715163e-07,1.7006784422350788e-06
37,3.694699033033342,0.6652932515071059,0.16996797815542536,0.10625762636023961,0.04853229446455848,0.005499348624322359,0.0044258712712002355,1.2889500975751214e-05,8.089194577983559e-06,5.656606436077872e-07,2.066151191591063e-06
38,3.098010071170494,0.6653119899206962,0.16996516943542125,0.10625418307790784,0.04852368473589333,0.005489768666999416,0.004430294793511864,1.297062499167194e-05,8.637683674326802e-06,8.154550767425181e-07,2.4603003280596374e-06
39,2.5976855801416012,0.6653298450805131,0.16996252605070314,0.10625074205431136,0.0485154237558593,0.005480788969216512,0.004434405440702561,1.306933979870953e-05,9.204535981003689e-06,1.0775084621456552e-06,2.883363663431076e-06
40,2.1781628265417696,0.665346855562193,0.1699600420560225,0.10624728561788203,0.04850750234655407,0.005472394322130514,0.004438209394703694,1.3179661138007688e-05,9.798022028594731e-06,1.3507727786070615e-06,3.335899581549739e-06
41,1.8263924376366683,0.6653631122579411,0.1699577065410862,0.1062437889966544,0.04849988357310622,0.005464540219226381,0.004441726378231556,1.329802515987976e-05,1.0426090288465115e-05,1.633689401471017e-06,3.817122485105138e-06
42,1.5314324969692268,0.6653786650037775,0.16995551302143325,0.10624023646710297,0.04849254907417797,0.0054572056398516965,0.004444965345926827,1.3421740812028553e-05,1.1093988815877759e-05,1.9241962497656953e-06,4.323458025609097e-06
43,1.2841081929840743,0.6653936246149316,0.16995344617537028,0.10623659944681854,0.048485447089212645,0.005450339991707693,0.004447948339044933,1.3549855074312244e-05,1.1808543233813035e-05,2.225919789767628e-06,4.854942048482518e-06
44,1.076726433944779,0.6654080436789988,0.16995150285201732,0.10623286356397743,0.04847854787671155,0.005443914374155714,0.004450688004298246,1.3682043334555491e-05,1.2573510051268122e-05,2.5444765087702645e-06,5.411302203898733e-06
45,0.9028365521610059,0.665421913419127,0.16994967920663917,0.10622903089734716,0.04847185951286128,0.005437935192633977,0.004453181770338565,1.3817677877089744e-05,1.3387389307537131e-05,2.8825607640192566e-06,6.012731588029383e-06
46,0.7570296541635521,0.6654345106398287,0.16994806525995745,0.1062253199363418,0.04846573732373637,0.005432698425769848,0.0044553108513531985,1.3948765251175654e-05,1.4200912940456183e-05,3.2207139507521584e-06,6.649087382611917e-06
47,0.6347703755582845,0.6654460501027127,0.1699466244903104,0.10622170118160036,0.048460087603475366,0.0054280880719758395,0.004457130795669087,1.4076159650061324e-05,1.5016229356166776e-05,3.5598979617042597e-06,7.323505893848016e-06
48,0.5322558072465601,0.6654567668616826,0.16994532370329565,0.1062181320919502,0.04845480076996632,0.005423981414290629,0.004458698230165898,1.420134195635015e-05,1.5840117777810183e-05,3.9027872264291376e-06,8.020659210442075e-06
49,0.4462972048727478,0.6654667896460712,0.1699441493815333,0.10621459699109836,0.048449813886042095,0.005420299072717506,0.004460051299936489,1.4324947254533166e-05,1.6674519778388936e-05,4.249995374082764e-06,8.719955028065617e-06
50,0.3742208020380694,0.6654761966083508,0.16994308635926314,0.10621109441082073,0.048445095552173294,0.0054169916218838364,0.004461215446639329,1.4446896421217483e-05,1.751688237992683e-05,4.600307809587684e-06,9.410946119437672e-06
51,0.3137846420479952,0.6654850295613546,0.16994212675727574,0.10620763452859955,0.048440629972655726,0.005414021618346835,0.0044622116258056345,1.4566790149318343e-05,1.8362232246215035e-05,4.951560486017769e-06,1.0093339445669005e-05
52,0.2631088412214243,0.6654932863620185,0.16994126565013287,0.10620424463498691,0.04843642511032264,0.005411368332938848,0.004463054933520253,1.4683627990017755e-05,1.920106456290391e-05,5.299635588378611e-06,1.076425494010505e-05
