150, 9
1.000000000000000021e-03 1.057237461500000059e-01 2.469478150300000072e-09 4.287240692399999829e-14 4.842251559300000258e-02 1.406043059499999937e-06 6.696294295200000413e-01 1.690624070499999743e-01 3.603934307299999980e-16 7.137968138500000274e-03
1.131595665278606506e-03 1.057237669699999938e-01 1.927138797199999888e-09 3.345688369000000115e-14 4.842252517500000158e-02 1.591629991700000084e-06 6.696292739800000504e-01 1.690624386000000035e-01 3.603936570700000133e-16 7.137876677600000011e-03
1.280508749677332445e-03 1.057237900499999883e-01 1.504902375899999986e-09 2.612646254300000102e-14 4.842253578200000214e-02 1.801115260300000311e-06 6.696290989099999980e-01 1.690624741600000036e-01 3.603939091800000046e-16 7.137773436500000242e-03
1.449018150486197989e-03 1.057238157500000053e-01 1.176171480099999993e-09 2.041938673399999936e-14 4.842254757899999706e-02 2.037309585800000067e-06 6.696289019100000184e-01 1.690625142000000136e-01 3.603941908200000158e-16 7.137657030100000126e-03
1.639702658000208400e-03 1.057238447100000006e-01 9.181648369100000412e-10 1.594015142399999872e-14 4.842256086500000556e-02 2.305835107999999890e-06 6.696286782600000542e-01 1.690625596799999741e-01 3.603945089500000055e-16 7.137524687999999978e-03
1.855480420138845869e-03 1.057238791200000028e-01 6.994901153000000306e-10 1.206560078100000044e-14 4.842257664400000106e-02 2.626742056100000149e-06 6.696284112099999408e-01 1.690626140100000008e-01 3.567344531100000243e-16 7.137366528499999863e-03
2.099653600438446295e-03 1.057239161299999980e-01 5.457981065500000379e-10 9.414538925299999397e-15 4.842259361000000178e-02 2.973632715200000130e-06 6.696281227600000552e-01 1.690626726999999996e-01 3.567348567500000037e-16 7.137195561699999705e-03
2.375958912842764982e-03 1.057239576999999958e-01 4.263625947900000329e-10 7.354374577899999804e-15 4.842261266299999894e-02 3.364405172500000212e-06 6.696277979700000493e-01 1.690627388000000009e-01 3.567353105100000158e-16 7.137002966800000230e-03
2.688624806652943795e-03 1.057240047600000177e-01 3.328832170900000238e-10 5.741932954099999699e-15 4.842263422299999953e-02 3.807550344599999655e-06 6.696274297600000036e-01 1.690628137500000128e-01 3.567358243499999793e-16 7.136784559000000118e-03
3.042436176769003440e-03 1.057240577500000167e-01 2.601098599000000069e-10 4.486653651899999670e-15 4.842265850300000313e-02 4.307310338800000017e-06 6.696270145899999582e-01 1.690628982500000099e-01 3.567364032699999426e-16 7.136538247699999830e-03
3.442807589518620971e-03 1.057241215899999975e-01 1.979044230599999952e-10 3.391677122200000190e-15 4.842268774899999989e-02 4.909878225299999896e-06 6.696265140899999579e-01 1.690630001399999749e-01 3.531112620999999945e-16 7.136241266200000176e-03
